txn_date,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death
2020-01-17,นครราชสีมา,0,0,0,0,0,0
2020-01-17,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-17,นครสวรรค์,0,0,0,0,0,0
2020-01-17,นนทบุรี,0,0,0,0,0,0
2020-01-17,นราธิวาส,0,0,0,0,0,0
2020-01-17,น่าน,0,0,0,0,0,0
2020-01-17,บึงกาฬ,0,0,0,0,0,0
2020-01-17,บุรีรัมย์,0,0,0,0,0,0
2020-01-17,ปทุมธานี,0,0,0,0,0,0
2020-01-17,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-17,ปราจีนบุรี,0,0,0,0,0,0
2020-01-17,ปัตตานี,0,0,0,0,0,0
2020-01-17,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-17,พะเยา,0,0,0,0,0,0
2020-01-17,พังงา,0,0,0,0,0,0
2020-01-17,พัทลุง,0,0,0,0,0,0
2020-01-17,พิจิตร,0,0,0,0,0,0
2020-01-17,พิษณุโลก,0,0,0,0,0,0
2020-01-17,ภูเก็ต,0,0,0,0,0,0
2020-01-17,มหาสารคาม,0,0,0,0,0,0
2020-01-17,มุกดาหาร,0,0,0,0,0,0
2020-01-17,ยะลา,0,0,0,0,0,0
2020-01-17,ยโสธร,0,0,0,0,0,0
2020-01-17,ระนอง,0,0,0,0,0,0
2020-01-17,ระยอง,0,0,0,0,0,0
2020-01-17,ราชบุรี,0,0,0,0,0,0
2020-01-17,ร้อยเอ็ด,0,0,0,0,0,0
2020-01-17,ลพบุรี,0,0,0,0,0,0
2020-01-17,ลำปาง,0,0,0,0,0,0
2020-01-17,ลำพูน,0,0,0,0,0,0
2020-01-17,ศรีสะเกษ,0,0,0,0,0,0
2020-01-17,สกลนคร,0,0,0,0,0,0
2020-01-17,สงขลา,0,0,0,0,0,0
2020-01-17,สตูล,0,0,0,0,0,0
2020-01-17,สมุทรปราการ,0,0,0,0,0,0
2020-01-17,สมุทรสงคราม,0,0,0,0,0,0
2020-01-17,สมุทรสาคร,0,0,0,0,0,0
2020-01-17,สระบุรี,0,0,0,0,0,0
2020-01-17,สระแก้ว,0,0,0,0,0,0
2020-01-17,สิงห์บุรี,0,0,0,0,0,0
2020-01-17,สุพรรณบุรี,0,0,0,0,0,0
2020-01-17,สุราษฎร์ธานี,0,0,0,0,0,0
2020-01-17,สุรินทร์,0,0,0,0,0,0
2020-01-17,สุโขทัย,0,0,0,0,0,0
2020-01-17,หนองคาย,0,0,0,0,0,0
2020-01-17,หนองบัวลำภู,0,0,0,0,0,0
2020-01-17,อำนาจเจริญ,0,0,0,0,0,0
2020-01-17,อุดรธานี,0,0,0,0,0,0
2020-01-17,อุตรดิตถ์,0,0,0,0,0,0
2020-01-17,อุทัยธานี,0,0,0,0,0,0
2020-01-17,อุบลราชธานี,0,0,0,0,0,0
2020-01-17,อ่างทอง,0,0,0,0,0,0
2020-01-17,เชียงราย,0,0,0,0,0,0
2020-01-17,เชียงใหม่,0,0,0,0,0,0
2020-01-17,เพชรบุรี,0,0,0,0,0,0
2020-01-17,เพชรบูรณ์,0,0,0,0,0,0
2020-01-17,เลย,0,0,0,0,0,0
2020-01-17,แพร่,0,0,0,0,0,0
2020-01-17,แม่ฮ่องสอน,0,0,0,0,0,0
2020-01-17,ไม่ระบุ,0,0,0,0,0,0
2020-01-18,กระบี่,0,0,0,0,0,0
2020-01-18,กรุงเทพมหานคร,0,2,0,0,0,0
2020-01-18,กาญจนบุรี,0,0,0,0,0,0
2020-01-18,กาฬสินธุ์,0,0,0,0,0,0
2020-01-18,กำแพงเพชร,0,0,0,0,0,0
2020-01-18,ขอนแก่น,0,0,0,0,0,0
2020-01-18,จันทบุรี,0,0,0,0,0,0
2020-01-18,ฉะเชิงเทรา,0,0,0,0,0,0
2020-01-18,ชลบุรี,0,0,0,0,0,0
2020-01-18,ชัยนาท,0,0,0,0,0,0
2020-01-18,ชัยภูมิ,0,0,0,0,0,0
2020-01-18,ชุมพร,0,0,0,0,0,0
2020-01-18,ตรัง,0,0,0,0,0,0
2020-01-18,ตราด,0,0,0,0,0,0
2020-01-18,ตาก,0,0,0,0,0,0
2020-01-18,นครนายก,0,0,0,0,0,0
2020-01-18,นครปฐม,0,0,0,0,0,0
2020-01-18,นครพนม,0,0,0,0,0,0
2020-01-18,นครราชสีมา,0,0,0,0,0,0
2020-01-18,นครศรีธรรมราช,0,0,0,0,0,0
2020-01-18,นครสวรรค์,0,0,0,0,0,0
2020-01-18,นนทบุรี,0,0,0,0,0,0
2020-01-18,นราธิวาส,0,0,0,0,0,0
2020-01-18,น่าน,0,0,0,0,0,0
2020-01-18,บึงกาฬ,0,0,0,0,0,0
2020-01-18,บุรีรัมย์,0,0,0,0,0,0
2020-01-18,ปทุมธานี,0,0,0,0,0,0
2020-01-18,ประจวบคีรีขันธ์,0,0,0,0,0,0
2020-01-18,ปราจีนบุรี,0,0,0,0,0,0
2020-01-18,ปัตตานี,0,0,0,0,0,0
2020-01-18,พระนครศรีอยุธยา,0,0,0,0,0,0
2020-01-18,พะเยา,0,0,0,0,0,0
