txn_date,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,new_recovered,total_recovered,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,total_tests,new_tests,reproduction_rate
3/6/2020,1,48,0,20,0,1,0,0,,,,,,16.67,,,,13098,619,
3/7/2020,2,50,0,20,0,1,0,0,,,,,,16.67,,,,13794,696,
3/8/2020,0,50,0,20,0,1,0,0,,,,,,16.67,,,,14354,560,
3/9/2020,0,50,0,20,0,1,0,0,,,,,,16.67,,,,15161,807,
3/10/2020,3,53,2,22,0,1,33,33,,,,,,25,,,,15772,611,
3/11/2020,6,59,5,27,0,1,1,34,,,,,,25,,,,16777,1005,
3/12/2020,13,72,13,40,0,1,1,35,,,,,,25,,,,17831,1054,
3/13/2020,3,75,0,40,0,1,0,35,,,,,,25,,,,19077,1246,
3/14/2020,7,82,5,45,0,1,0,35,,,,,,25,,,,20433,1356,
3/15/2020,32,114,22,67,0,1,2,37,,,,,,26.85,,,,22539,2106,
3/16/2020,33,147,23,90,0,1,1,38,,,,,,33.8,,,,24729,2190,2.16
3/17/2020,30,177,18,108,0,1,3,41,,,,,,39.35,,,,27891,3162,2.15
3/18/2020,35,212,35,143,0,1,1,42,,,,,,48.61,,,,30587,2696,2.16
3/19/2020,60,272,46,189,0,1,0,42,,,,,,48.61,,,,33482,2895,2.17
3/20/2020,50,322,39,228,0,1,1,43,,,,,,48.61,,,,35591,2109,2.17
3/21/2020,89,411,74,302,0,1,1,44,,,,,,52.31,,,,37259,1668,2.18
3/22/2020,188,599,162,464,0,1,1,45,,,,,,52.31,,,,39317,2058,2.15
3/23/2020,122,721,104,568,0,1,7,52,,,,,,52.31,,,,41686,2369,2.03
3/24/2020,106,827,74,642,4,5,5,57,,,,,,52.31,,,,44049,2363,1.9
3/25/2020,107,934,79,721,0,5,13,70,,,,,,57.87,,,,46972,2923,1.77
3/26/2020,111,1045,93,814,0,5,18,88,,,,,,68.06,,,,50330,3358,1.65
3/27/2020,91,1136,74,888,0,5,9,97,,,,,,68.06,,,,53759,3429,1.56
3/28/2020,108,1244,90,978,1,6,3,100,,,,,,68.06,,,,56386,2627,1.47
3/29/2020,141,1385,121,1099,1,7,11,111,,,,,,68.06,,,,58637,2251,1.4
3/30/2020,138,1523,117,1216,2,9,16,127,,,,,,68.06,,,,60957,2320,1.34
3/31/2020,128,1651,103,1319,1,10,215,342,,,,,,68.06,5278,4.19,6.76,63463,2506,1.27
4/1/2020,120,1771,87,1406,2,12,74,416,,,,,,68.06,,,,66240,2777,1.19
4/2/2020,104,1875,80,1486,3,15,89,505,,,,,,68.06,,,,69203,2963,1.11
4/3/2020,103,1978,78,1564,4,19,76,581,,,,,,76.85,,,,71965,2762,1.04
4/4/2020,89,2067,67,1631,1,20,31,612,,,,,,76.85,,,,75154,3189,0.97
4/5/2020,102,2169,86,1717,3,23,62,674,,,,,,76.85,,,,78679,3525,0.9
4/6/2020,51,2220,46,1763,3,26,119,793,,,,,,76.85,,,,82570,3891,0.85
4/7/2020,38,2258,35,1798,1,27,31,824,,,,,,76.85,,,,87308,4738,0.82
4/8/2020,111,2369,66,1864,5,32,64,888,,,,,,76.85,,,,91112,3804,0.79
4/9/2020,54,2423,44,1908,0,32,52,940,,,,,,76.85,,,,94689,3577,0.74
4/10/2020,50,2473,47,1955,1,33,73,1013,,,,,,76.85,,,,98465,3776,0.69
4/11/2020,45,2518,33,1988,2,35,122,1135,,,,,,76.85,,,,102357,3892,0.65
4/12/2020,33,2551,28,2016,3,38,83,1218,,,,,,76.85,,,,105111,2754,0.62
4/13/2020,28,2579,24,2040,2,40,70,1288,,,,,,76.85,,,,108809,3698,0.61
4/14/2020,34,2613,31,2071,1,41,117,1405,,,,,,76.85,,,,112713,3904,0.61
4/15/2020,30,2643,27,2098,2,43,92,1497,,,,,,76.85,,,,117592,4879,0.6
4/16/2020,29,2672,27,2125,3,46,96,1593,,,,,,76.85,,,,123011,5419,0.59
4/17/2020,28,2700,27,2152,1,47,96,1689,,,,,,76.85,,,,127903,4892,0.59
4/18/2020,33,2733,27,2179,0,47,98,1787,,,,,,76.85,,,,134079,6176,0.58
4/19/2020,32,2765,27,2206,0,47,141,1928,,,,,,76.85,,,,138545,4466,0.58
4/20/2020,27,2792,24,2230,0,47,71,1999,,,,,,76.85,,,,142769,4224,0.58
4/21/2020,19,2811,17,2247,2,49,109,2108,,,,,,76.85,,,,148286,5517,0.57
4/22/2020,15,2826,14,2261,0,49,244,2352,,,,,,76.85,,,,155219,6933,0.56
4/23/2020,13,2839,12,2273,1,50,78,2430,,,,,,76.85,,,,164441,9222,0.56
4/24/2020,15,2854,14,2287,0,50,60,2490,,,,,,76.85,,,,170968,6527,0.57
4/25/2020,53,2907,53,2340,1,51,57,2547,,,,,,76.85,,,,176587,5619,0.58
4/26/2020,15,2922,10,2350,0,51,47,2594,,,,,,76.85,,,,182423,5836,0.54
4/27/2020,9,2931,7,2357,1,52,15,2609,,,,,,76.85,,,,190495,8072,0.51
4/28/2020,7,2938,7,2364,2,54,43,2652,,,,,,76.85,,,,200260,9765,0.49
4/29/2020,9,2947,9,2373,0,54,13,2665,,,,,,76.85,,,,209032,8772,0.46
